Date/Time,Word Count,de,en,es,fr,it,ja,ko,pl,pt,ru,th,tr,uk,zh,zh-Hans-CN-CNVER,zh-Hant
2024.11.21-12.01.33,225085,209889,215350,209855,209889,0,212614,212614,0,209889,209855,0,0,0,225085,0,191683
2024.11.21-12.31.58,225092,209889,215350,209855,209889,0,212614,212614,0,209889,209855,0,0,0,225092,0,191683
2024.11.21-13.19.34,225092,209889,215360,209855,209889,0,212614,212614,0,209889,209855,0,0,0,225092,0,191683
2024.11.22-14.23.09,225162,209889,215365,209855,209889,0,212614,212614,0,209889,209855,0,0,0,225162,0,191683
2024.11.22-15.08.02,225162,212617,215414,212583,212617,0,212639,212639,0,212617,212583,0,0,0,225162,0,191708
2024.11.23-11.16.52,225162,213008,215404,212974,213008,0,213030,213030,0,213008,212974,0,0,0,225162,0,191698
2024.11.23-13.21.05,225162,214103,215818,214069,214103,0,214125,214125,0,214103,214069,0,0,0,225162,0,209191
2024.11.23-13.41.20,225174,214086,215801,214052,214086,0,214108,214108,0,214086,214052,0,0,0,225174,0,209174
2024.11.23-15.41.42,225174,214062,215095,214028,214062,0,214084,214084,0,214062,214028,0,0,0,225174,0,209170
2024.11.23-16.04.15,225174,214062,215095,214082,214062,0,214084,214084,0,214062,214082,0,0,0,225174,0,209170
2024.12.05-10.56.16,225531,214003,214928,214023,214003,0,214025,214025,0,214003,214023,0,0,0,225531,0,209003
2024.12.12-19.07.59,234116,211864,212789,211884,211864,0,211886,211886,0,211864,211884,0,0,0,234116,0,206864
2024.12.12-19.24.59,234116,211928,212968,211948,211928,0,211950,211950,0,211928,211948,0,0,0,234116,0,206864
2024.12.16-17.33.41,234617,211928,212968,211948,211928,0,211950,211950,0,211928,211948,0,0,0,234617,0,206864
2024.12.16-18.35.13,234617,212606,214574,212628,212606,0,212628,212628,0,212606,212628,0,0,0,234617,0,207546
2024.12.17-19.28.46,235399,212606,214574,212628,212606,0,212628,212628,0,212606,212628,0,0,0,235399,0,207546
2024.12.17-20.33.00,235399,212658,214626,212680,212658,0,212680,212680,0,212658,212680,0,0,0,235399,0,207598
2024.12.19-14.55.00,235399,214412,216239,214434,214412,0,214434,214434,0,214412,214434,0,0,0,235399,0,209320
2025.01.08-14.35.23,244739,213538,215365,213560,213538,0,213560,213560,0,213538,213560,0,0,0,244739,0,208446
2025.01.08-14.50.33,244743,213538,215365,213560,213538,0,213560,213560,0,213538,213560,0,0,0,244743,0,208446
2025.01.08-18.11.43,244743,213778,215605,213800,213778,0,213800,213800,0,213778,213800,0,0,0,244743,0,208693
2025.01.09-11.24.59,245621,213778,215605,213800,213778,0,213800,213800,0,213778,213800,0,0,0,245621,0,208693
2025.01.15-17.51.13,246750,213454,215281,213476,213454,0,213476,213476,0,213454,213476,0,0,0,246750,0,208369
2025.01.16-10.18.07,246750,213480,216456,213502,213480,0,214651,214651,0,213480,213502,0,0,0,246750,0,208395
2025.01.16-13.30.13,246750,214629,216456,213502,214629,0,214651,214651,0,214629,213502,0,0,0,246750,0,208395
2025.01.17-12.14.27,246750,214629,216456,214651,214629,0,214651,214651,0,214629,214651,0,0,0,246750,0,209554
2025.01.20-18.27.01,246750,214743,216456,214651,214743,0,214651,214651,0,214743,214651,0,0,0,246750,0,209687
2025.01.20-18.43.15,250979,214543,216256,214451,214543,0,214451,214451,0,214543,214451,0,0,0,250979,0,209487
2025.01.20-18.49.32,250979,214633,216256,214451,214633,0,214451,214451,0,214633,214451,0,0,0,250979,0,209624
2025.01.21-17.19.25,250979,214652,216479,214674,214652,0,214674,214674,0,214652,214674,0,0,0,250979,0,209624
2025.02.12-17.10.02,252124,213709,215536,213731,213709,0,213731,213731,0,213709,213731,0,0,0,252124,0,208681
2025.02.12-17.25.23,252124,213717,216244,213739,213717,0,214439,214439,0,213717,213739,0,0,0,252124,0,209569
2025.02.13-10.08.21,252124,214417,216244,213739,214417,0,214439,214439,0,214417,213739,0,0,0,252124,0,209569
2025.02.13-11.02.24,252124,214597,216424,214619,214597,0,214619,214619,0,214597,214619,0,0,0,252124,0,209569
2025.02.17-16.04.56,252316,214372,216199,214394,214372,0,214394,214394,0,214372,214394,0,0,0,252316,0,209344
2025.02.18-20.49.44,252816,214091,215918,214113,214091,0,214113,214113,0,214091,214113,0,0,0,252816,0,209063
2025.02.20-10.47.25,255688,214091,215898,214113,214091,0,214113,214113,0,214091,214113,0,0,0,255688,0,209063
2025.02.20-13.27.15,256080,214077,215884,214099,214077,0,214099,214099,0,214077,214099,0,0,0,256080,0,209049
2025.02.20-16.14.46,256080,214410,216217,214432,214410,0,214432,214432,0,214410,214432,0,0,0,256080,0,209378
2025.02.26-15.25.46,258863,214166,215973,214188,214166,0,214188,214188,0,214166,214188,0,0,0,258863,0,209164
2025.02.26-15.33.13,258863,214454,216261,214188,214454,0,214476,214476,0,214454,214188,0,0,0,258863,0,209445
2025.02.26-22.59.07,258863,214454,216261,214476,214454,0,214476,214476,0,214454,214476,0,0,0,258863,0,209445
2025.02.27-16.48.00,259215,214408,216215,214430,214408,0,214430,214430,0,214408,214430,0,0,0,259215,0,209399
2025.03.06-20.41.18,267124,213577,215276,213599,213577,0,213599,213599,0,213577,213599,0,0,0,267124,0,208516
2025.03.06-21.03.35,267124,214064,215763,214086,214064,0,214086,214086,0,214064,214086,0,0,0,267124,0,208960
2025.03.19-10.09.19,272794,213742,214236,213764,213742,0,213764,213764,0,213742,213764,0,0,0,272794,0,208638
2025.03.19-13.25.28,272976,213742,214236,213764,213742,0,213764,213764,0,213742,213764,0,0,0,272976,0,208638
2025.03.25-10.03.22,274085,213655,214148,213677,213655,0,213677,213677,0,213655,213677,0,0,0,274085,0,208550
2025.03.25-20.54.25,274439,213636,214129,213658,213636,0,213658,213658,0,213636,213658,0,0,0,274439,0,208531
2025.03.27-20.45.42,275210,213286,213777,213308,213286,0,213308,213308,0,213286,213308,0,0,0,275210,0,208181
2025.03.31-11.52.43,275210,215885,216190,215907,215885,0,215907,215907,0,215885,215907,0,0,0,275210,0,208218
2025.04.09-15.26.23,281803,214757,215007,214779,214757,0,214775,214779,0,214757,214779,0,0,0,281803,0,207075
2025.04.10-10.53.03,281803,215083,215333,214831,215083,0,215101,215105,0,215083,214831,0,0,0,281803,0,207401
2025.04.10-11.40.57,281803,215083,215333,215105,215083,0,215101,215105,0,215083,215105,0,0,0,281803,0,207401
2025.04.23-17.22.33,294504,212853,213103,212875,212853,0,212871,212875,0,212853,212875,0,0,0,294504,0,205246
2025.04.24-12.51.03,294975,212853,213103,212875,212853,0,212871,212875,0,212853,212875,0,0,0,294975,0,205246
2025.04.24-14.17.54,294975,213164,213414,213186,213164,0,213182,213186,0,213164,213186,0,0,0,294975,0,205564
2025.04.28-10.27.20,295980,213004,213254,213026,213004,0,213022,213026,0,213004,213026,0,0,0,295980,0,205404
2025.05.06-18.23.19,305026,209619,209869,209641,209619,0,209637,209641,0,209619,209641,0,0,0,305026,0,202080
2025.05.07-12.38.34,304910,209619,209869,209641,209619,0,209637,209641,0,209619,209641,0,0,0,304910,0,202080
2025.05.07-17.14.31,304910,209694,209944,209716,209694,0,209712,209716,0,209694,209716,0,0,0,304910,0,202155
2025.05.20-17.43.02,309794,209308,209558,209330,209308,0,209326,209330,0,209308,209330,0,0,0,309794,0,201853
2025.05.20-17.54.13,309794,209308,213364,209330,209308,0,209326,209330,0,209308,209330,0,0,0,309794,0,201853
